time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz),F5(Hz),B5(Hz)
0.760000,4,1522.682,188.280,1798.789,65.803,2673.142,324.903,4087.493,926.380,--undefined--,--undefined--
0.765000,4,1638.205,195.498,1667.994,452.886,2672.180,319.763,4114.634,1380.734,--undefined--,--undefined--
0.770000,4,1578.126,192.264,1769.633,225.733,2622.094,190.568,4258.757,922.907,--undefined--,--undefined--
0.775000,4,1536.901,314.633,1853.780,247.690,2688.202,208.302,4227.630,1495.488,--undefined--,--undefined--
0.780000,4,1452.063,212.359,1880.016,138.050,2681.205,231.663,3995.136,1892.730,--undefined--,--undefined--
0.785000,4,1473.416,141.119,1807.152,103.924,2757.840,178.273,4185.498,1153.701,--undefined--,--undefined--
0.790000,4,1570.615,107.265,1874.848,151.222,2719.549,216.929,4228.635,663.412,--undefined--,--undefined--
0.795000,4,1576.175,92.413,1886.301,136.665,2565.263,235.227,4091.849,737.906,--undefined--,--undefined--
0.800000,4,1601.771,46.629,1931.213,155.733,2638.832,228.258,4135.253,306.805,--undefined--,--undefined--
0.805000,4,1639.406,22.950,2083.976,222.124,2686.408,256.081,4150.374,161.704,--undefined--,--undefined--
0.810000,4,1616.260,30.088,2130.375,385.092,2572.390,205.053,4131.968,155.871,--undefined--,--undefined--
0.815000,4,1596.685,21.852,2149.935,361.594,2646.203,216.903,4173.468,730.947,--undefined--,--undefined--
0.820000,4,1596.518,33.858,2257.808,162.965,2690.038,166.050,4219.587,303.461,--undefined--,--undefined--
0.825000,4,1594.748,87.770,2253.811,134.740,2628.773,167.215,4162.660,95.331,--undefined--,--undefined--
0.830000,4,1581.222,78.584,2287.384,198.514,2583.729,117.511,4135.420,153.204,--undefined--,--undefined--
0.835000,4,1590.427,119.339,2275.354,327.994,2594.857,70.308,4119.467,310.158,--undefined--,--undefined--
0.840000,4,1605.312,103.158,2302.634,259.164,2595.549,80.394,4124.863,336.060,--undefined--,--undefined--
0.845000,4,1621.803,52.380,2284.229,237.903,2584.520,59.684,4122.343,467.610,--undefined--,--undefined--
0.850000,4,1627.099,41.241,2215.189,510.083,2559.691,65.352,3895.470,1035.396,--undefined--,--undefined--
0.855000,4,1617.855,25.127,2287.899,532.339,2578.809,107.500,4013.621,656.278,--undefined--,--undefined--
0.860000,4,1594.811,57.303,2111.332,466.720,2582.838,52.237,4105.771,360.045,--undefined--,--undefined--
0.865000,4,1578.484,62.691,2215.692,567.363,2589.606,49.620,4093.927,362.402,--undefined--,--undefined--
0.870000,4,1584.462,63.037,2405.099,434.465,2612.651,108.722,4127.002,163.509,--undefined--,--undefined--
0.875000,4,1648.970,101.671,2179.180,422.133,2713.593,134.003,4131.702,98.341,--undefined--,--undefined--
0.880000,4,1665.211,158.005,2121.487,591.393,2780.023,188.417,4181.725,206.429,--undefined--,--undefined--
0.885000,4,1649.630,176.223,2260.895,421.778,2787.684,199.511,4215.192,402.311,--undefined--,--undefined--
0.890000,4,1539.051,100.938,2228.772,437.963,2729.120,171.432,4071.376,652.039,--undefined--,--undefined--
0.895000,4,1576.885,100.506,2147.329,469.519,2722.060,230.008,3984.955,917.827,--undefined--,--undefined--
0.900000,4,1562.947,186.305,2089.715,309.066,2877.850,205.323,4111.263,653.001,--undefined--,--undefined--
0.905000,4,1550.734,155.606,2078.402,418.756,2772.117,207.134,4010.979,350.944,--undefined--,--undefined--
0.910000,4,1688.916,206.224,1991.700,448.005,2683.440,179.078,4029.702,332.140,--undefined--,--undefined--
0.915000,4,1645.318,113.071,2081.908,422.120,2700.237,149.959,4119.582,390.838,--undefined--,--undefined--
0.920000,4,1663.973,98.119,2400.902,436.658,2780.384,198.420,4172.202,351.193,--undefined--,--undefined--
0.925000,4,1708.816,136.827,2502.655,250.704,2844.538,468.218,4173.821,412.113,--undefined--,--undefined--
0.930000,4,1751.751,150.572,2389.031,680.072,2794.667,384.911,4122.128,583.441,--undefined--,--undefined--
0.935000,4,1772.983,110.691,2223.322,1343.212,2665.060,125.783,4123.603,864.604,--undefined--,--undefined--
0.940000,4,1685.320,94.584,2436.077,731.896,2815.883,151.605,4205.631,562.906,--undefined--,--undefined--
0.945000,4,1580.578,249.846,2331.099,717.983,2909.853,134.929,4161.767,268.979,--undefined--,--undefined--
0.950000,4,1526.823,357.170,2154.150,440.894,2923.966,205.942,4164.912,311.952,--undefined--,--undefined--
0.955000,4,1362.858,471.291,2092.515,397.636,2669.972,139.779,4073.392,408.818,--undefined--,--undefined--
0.960000,4,1582.592,394.987,2318.877,1138.923,2576.577,195.694,3966.026,846.213,--undefined--,--undefined--
0.965000,4,1558.881,301.185,2421.173,310.021,2799.632,629.760,4291.208,1333.987,--undefined--,--undefined--
0.970000,4,1527.305,257.187,2326.358,256.880,2810.927,262.073,4410.189,622.124,--undefined--,--undefined--
0.975000,4,1504.631,286.580,2274.326,260.290,2810.707,223.699,4378.726,442.365,--undefined--,--undefined--
0.980000,4,1456.713,125.927,2338.815,466.961,2823.646,297.212,4270.838,367.618,--undefined--,--undefined--
0.985000,4,1427.303,134.100,2435.690,259.451,3130.213,650.146,4437.773,721.341,--undefined--,--undefined--
0.990000,4,1468.834,133.434,2396.259,230.980,3034.556,784.356,4239.220,423.677,--undefined--,--undefined--
0.995000,4,1513.171,123.744,2386.293,151.139,3082.209,638.224,4259.477,173.445,--undefined--,--undefined--
1.000000,4,1482.441,193.999,2392.837,227.684,3003.336,756.838,4342.969,247.233,--undefined--,--undefined--
1.005000,4,1450.336,135.520,2428.113,176.746,3112.714,948.199,4383.609,422.925,--undefined--,--undefined--
1.010000,4,1449.940,142.372,2408.483,130.973,3306.292,1440.304,4313.565,319.540,--undefined--,--undefined--
1.015000,4,1378.546,246.586,2426.826,136.620,3359.287,1272.465,4241.326,203.350,--undefined--,--undefined--
1.020000,4,1440.500,402.724,2450.033,102.077,3342.662,788.258,4190.475,165.400,--undefined--,--undefined--
1.025000,4,1514.541,341.548,2538.671,70.318,3480.985,1254.803,4139.559,77.212,--undefined--,--undefined--
1.030000,3,1588.265,499.753,2583.538,87.731,4094.837,48.485,--undefined--,--undefined--,--undefined--,--undefined--
1.035000,3,1857.139,830.000,2565.933,141.720,4068.717,24.896,--undefined--,--undefined--,--undefined--,--undefined--
1.040000,4,252.076,586.210,2190.348,1953.363,2579.162,146.910,4077.919,26.704,--undefined--,--undefined--
1.045000,4,316.959,174.524,2567.787,93.632,3630.319,4175.499,4099.059,32.403,--undefined--,--undefined--
1.050000,4,314.359,76.626,2534.419,118.384,4060.292,45.971,4293.927,1244.793,--undefined--,--undefined--
1.055000,5,309.086,69.251,2568.783,72.753,2669.843,2307.084,4049.639,28.358,4383.167,694.537
1.060000,5,303.571,67.799,2589.908,39.125,2633.285,2062.141,4036.315,65.940,4160.140,432.175
1.065000,5,315.620,27.074,2539.705,1619.431,2602.668,17.677,4014.257,81.573,4202.961,289.562
1.070000,5,325.164,26.138,2337.477,1135.433,2599.247,12.840,4049.834,76.965,4243.393,260.028
1.075000,5,349.513,77.582,2172.798,1445.607,2600.233,11.069,4040.179,133.640,4170.172,277.156
1.080000,5,497.226,241.126,1859.727,2340.437,2603.474,10.658,3936.209,293.370,4123.908,83.617
1.085000,5,617.798,242.432,1733.337,1364.161,2611.114,31.104,3976.166,92.572,4169.482,99.095
1.090000,5,497.000,352.199,1477.043,2425.895,2581.100,39.720,4046.001,154.020,4069.426,263.046
1.095000,5,431.257,276.647,1116.819,2701.785,2587.118,31.664,3958.228,224.064,4094.274,172.480
1.100000,5,401.685,196.851,1040.971,2851.986,2593.079,60.540,3898.708,284.688,4039.717,86.105
1.105000,4,417.024,218.179,2597.686,73.449,3876.121,198.634,4135.692,112.345,--undefined--,--undefined--
1.110000,4,444.938,246.116,2595.359,33.393,3886.334,82.218,4315.139,223.378,--undefined--,--undefined--
1.115000,4,495.125,256.077,2612.157,60.697,3890.455,114.368,4402.107,325.154,--undefined--,--undefined--
1.120000,4,515.240,229.643,2581.135,36.687,3679.598,201.346,4457.446,189.366,--undefined--,--undefined--
1.125000,4,574.617,178.608,2566.563,15.649,3567.750,156.877,4402.142,170.844,--undefined--,--undefined--
1.130000,4,639.968,57.740,2557.448,14.364,3524.843,109.069,4275.088,99.396,--undefined--,--undefined--
1.135000,4,654.880,17.796,2541.646,43.293,3478.794,91.417,4285.379,98.778,--undefined--,--undefined--
1.140000,4,657.644,9.937,2525.085,116.021,3482.802,99.142,4230.215,96.242,--undefined--,--undefined--
1.145000,5,653.829,7.714,2335.366,376.772,3144.136,2699.281,3535.114,115.360,4322.339,119.773
1.150000,5,649.843,5.749,2022.794,108.450,3482.910,156.245,3808.201,814.862,4424.248,124.456
1.155000,5,653.071,7.541,1980.477,41.422,3459.587,146.436,3898.588,619.855,4423.240,152.135
1.160000,5,668.136,13.363,1974.780,35.776,3371.620,148.904,3949.006,643.869,4548.780,129.023
1.165000,5,685.082,18.885,1975.948,32.917,3353.388,152.252,3981.631,1186.352,4604.882,86.273
1.170000,5,690.836,20.583,1978.500,30.269,3405.556,251.154,4088.175,1270.408,4589.315,111.200
1.175000,5,688.464,18.288,1981.099,33.622,3364.886,264.699,4089.659,1043.512,4601.983,97.885
1.180000,5,684.598,16.859,1984.359,36.103,3440.622,390.446,3897.952,1060.142,4618.572,81.059
1.185000,5,675.759,15.752,1973.977,26.805,3520.226,334.925,3701.952,1276.661,4611.597,85.010
1.190000,5,666.927,14.464,1959.727,17.327,3552.697,1754.448,3568.343,139.486,4582.465,89.228
1.195000,5,653.351,10.509,1940.961,9.779,3562.875,49.999,3907.126,2578.865,4452.119,116.568
1.200000,5,634.455,6.006,1921.966,7.856,3543.875,35.384,3979.905,2782.972,4468.616,77.511
1.205000,4,626.373,8.473,1917.772,9.301,3533.227,25.565,4526.483,61.590,--undefined--,--undefined--
1.210000,5,619.849,12.222,1916.975,13.060,3545.199,62.994,4194.199,4215.178,4501.684,145.743
1.215000,5,620.506,36.793,1905.276,30.232,3569.391,91.258,4222.072,2848.785,4493.725,146.254
1.220000,4,736.284,155.788,1923.608,157.323,3591.660,59.095,4427.118,157.572,--undefined--,--undefined--
1.225000,4,709.747,158.068,1951.164,126.522,3612.333,97.099,4515.350,138.550,--undefined--,--undefined--
1.230000,4,736.751,211.285,1923.407,127.969,3588.491,126.987,4593.803,96.202,--undefined--,--undefined--
1.235000,4,765.379,221.316,1875.976,153.971,3517.204,117.171,4597.592,147.166,--undefined--,--undefined--
1.240000,5,733.694,82.888,1890.336,64.015,3528.454,103.621,4154.651,4388.575,4530.168,95.495
1.245000,5,757.721,33.050,1892.182,71.281,3525.041,175.373,3657.989,2269.024,4532.143,62.698
1.250000,5,763.208,20.737,1921.435,77.820,3042.533,1472.662,3593.578,231.634,4575.462,38.056
1.255000,5,781.265,38.948,1944.675,47.479,2930.191,933.515,3675.900,276.220,4527.058,100.179
1.260000,5,811.587,97.787,1982.563,81.625,3095.087,1026.377,3717.901,561.061,4489.675,100.710
